S.No,Batch,Student_id(Matrix Id),Roll No,Student Name,Gender,Shift,Section,Program,Status,Student Mobile No.,Student Email,Father Name,Father Mobile No,Mother Name,Mother Mobile No,P Address,T Address,DOB ES,DOB BS,Blood Group,Previous GPA,Previous School,Optional Subject,Local Guardain Name,Local Guardain No
1,2020,C3010119001,,Aakash Pal,Male,Day,A,BICT,Running,,1abc@gmail.com,,9865542611.0,,,,,2005-10-16,30-06-2062,,,,,,
2,2020,C3010119002,,Aayusha Karki,Female,Day,A,BICT,Running,9808721506.0,2abc@gmail.com,,9865542612.0,,,,,2005-08-10,26-04-2062,,,,,,
3,2020,C3010119003,,Amogh Guragai,Male,Day,A,BICT,Running,9808721507.0,3abc@gmail.com,,9865542613.0,,,,,2005-08-10,26-04-2062,,,,,,
4,2020,A2240,,Ashish Sherpa,Male,Day,A,BICT,Running,9808721508.0,4abc@gmail.com,,9865542614.0,,,,,2005-10-06,20-06-2062,,,,,,
5,2020,12177,,Avyash Kurumbang Limbhu,Male,Day,A,BICT,Running,9808721509.0,5abc@gmail.com,,9865542615.0,,,,,2005-08-10,26-04-2062,,,,,,
6,2020,22178,,Barish Rai,Male,Day,A,BICT,Running,9808721510.0,6abc@gmail.com,,9865542616.0,,,,,2005-08-10,26-04-2062,,,,,,
7,2020,32179,,Denisha Basnet,Female,Day,A,BICT,Running,9808721511.0,7abc@gmail.com,,9865542617.0,,,,,2005-08-10,26-04-2062,,,,,,
8,2020,42249,,Gobind Mukhiya,Male,Day,A,BICT,Running,9808721512.0,8abc@gmail.com,,9865542618.0,,,,,2005-10-06,20-06-2062,,,,,,
9,2020,52269,,Jackson Shahi,Male,Day,A,BICT,Running,9808721513.0,9abc@gmail.com,,9865542619.0,,,,,2005-10-06,20-06-2062,,,,,,
10,2020,62180,,Jaya Gupta,Female,Day,A,BICT,Running,9808721514.0,10abc@gmail.com,,9865542620.0,,,,,2005-08-10,26-04-2062,,,,,,
11,2020,72181,,Jwalandeep Adhikari,Male,Day,A,BICT,Running,9808721515.0,11abc@gmail.com,,9865542621.0,,,,,2005-08-10,26-04-2062,,,,,,
12,2022,82182,,Kaustuv Shrestha,Male,Day,A,BICT,Running,9808721516.0,12abc@gmail.com,,9865542622.0,,,,,2005-08-10,26-04-2062,,,,,,
13,2020,882242,,Kishor Singh Bhandari,Male,Day,A,BICT,Running,9808721517.0,13abc@gmail.com,,9865542623.0,,,,,2005-10-06,20-06-2062,,,,,,
14,2020,8882184,,Krishna Nepal,Male,Day,A,BICT,Running,9808721518.0,14abc@gmail.com,,9865542624.0,,,,,2005-08-11,27-04-2062,,,,,,
15,2020,92185,,Kriti Chhetri,Female,Day,A,BICT,Running,9808721519.0,15abc@gmail.com,,9865542625.0,,,,,2005-08-11,27-04-2062,,,,,,
16,2020,992243,,Kritika Khandelwal,Female,Day,A,BICT,Running,9808721520.0,16abc@gmail.com,,9865542626.0,,,,,2005-10-06,20-06-2062,,,,,,
17,2022,5992186,,Kritika Singh,Female,Day,A,BICT,Running,9808721521.0,17abc@gmail.com,,9865542627.0,,,,,2005-08-11,27-04-2062,,,,,,
18,2020,772187,,Manash Raj Sharma,Male,Day,A,BICT,Running,9808721522.0,18abc@gmail.com,,9865542628.0,,,,,2005-08-11,27-04-2062,,,,,,
19,2020,2188,,Manik Sharma Bhattarai,Male,Day,A,BICT,Running,9808721523.0,19abc@gmail.com,,9865542629.0,,,,,2005-08-11,27-04-2062,,,,,,
20,2020,332245,,Manjari Lohani,Female,Day,A,BICT,Running,9808721524.0,20abc@gmail.com,,9865542630.0,,,,,2005-10-06,20-06-2062,,,,,,
21,2020,2212246,,Miksee Rai,Female,Day,A,BICT,Running,9808721525.0,21abc@gmail.com,,9865542631.0,,,,,2005-10-06,20-06-2062,,,,,,
22,2020,122189,,Nigesh Pun,Male,Day,A,BICT,Running,9808721526.0,22abc@gmail.com,,9865542632.0,,,,,2005-08-11,27-04-2062,,,,,,
23,2020,76552190,,Nishant Bhandari,Male,Day,A,BICT,Running,9808721527.0,23abc@gmail.com,,9865542633.0,,,,,2005-08-11,27-04-2062,,,,,,
24,2022,82282191,,Paarth Man Singh Basnyat,Male,Day,A,BICT,Running,9808721528.0,24abc@gmail.com,,9865542634.0,,,,,2005-08-11,27-04-2062,,,,,,
25,2020,C3012192,,Piya Gurung,Female,Day,A,BICT,Running,9808721529.0,25abc@gmail.com,,9865542635.0,,,,,2005-08-11,27-04-2062,,,,,,
26,2020,1222214,,Poshan Gurung,Male,Day,A,BICT,Running,9808721530.0,26abc@gmail.com,,9865542636.0,,,,,2005-08-11,27-04-2062,,,,,,
27,2020,562195,,Prasansha Subba,Female,Day,A,BICT,Running,9808721531.0,27abc@gmail.com,,9865542637.0,,,,,2005-08-11,27-04-2062,,,,,,
28,2020,672196,,Pritishma Shah,Female,Day,A,BICT,Running,9808721532.0,28abc@gmail.com,,9865542638.0,,,,,2005-08-11,27-04-2062,,,,,,
29,2020,872197,,Samishrika Pariyar,Female,Day,A,BICT,Running,9808721533.0,29abc@gmail.com,,9865542639.0,,,,,2005-08-11,27-04-2062,,,,,,
30,2020,982198,,Sarika Koirala,Female,Day,A,BICT,Running,9808721534.0,30abc@gmail.com,,9865542640.0,,,,,2005-08-11,27-04-2062,,,,,,
31,2020,122229,,Sarthak Thapa,Male,Day,A,BICT,Running,9808721535.0,31abc@gmail.com,,9865542641.0,,,,,2005-08-11,27-04-2062,,,,,,
32,2020,492199,,Shruti Chhetri,Female,Day,A,BICT,Running,9808721536.0,32abc@gmail.com,,9865542642.0,,,,,2005-08-11,27-04-2062,,,,,,
33,2021,65342275,,Smriti K.C.,Female,Day,A,BICT,Running,9808721537.0,33abc@gmail.com,,9865542643.0,,,,,2005-10-16,30-06-2062,,,,,,
34,2021,2332200,,Sparsh Roka Magar,Male,Day,A,BICT,Running,9808721538.0,34abc@gmail.com,,9865542644.0,,,,,2005-08-11,27-04-2062,,,,,,
35,2021,9882201,,Sulav Shrestha,Male,Day,A,BICT,Running,9808721539.0,35abc@gmail.com,,9865542645.0,,,,,2005-08-11,27-04-2062,,,,,,
36,2021,C31122202,,Vijita Raut,Female,Day,A,BICT,Running,9808721540.0,36abc@gmail.com,,9865542646.0,,,,,2005-08-11,27-04-2062,,,,,,
37,2020,C1212203,,Yaju Maharjhan,Female,Day,A,BICT,Running,9808721541.0,37abc@gmail.com,,9865542647.0,,,,,2005-08-11,27-04-2062,,,,,,
38,2020,2204,,Aakash Pal,Female,Day,A,BICT,Running,9808721542.0,38abc@gmail.com,,9865542648.0,,,,,2005-08-11,27-04-2062,,,,,,
39,2020,2205,,Aayusha Karki,Female,Day,A,BICT,Running,9808721543.0,39abc@gmail.com,,9865542649.0,,,,,2005-08-11,27-04-2062,,,,,,
40,2020,2206,,Amogh Guragai,Female,Day,A,BICT,Running,9808721544.0,40abc@gmail.com,,9865542650.0,,,,,2005-08-11,27-04-2062,,,,,,
41,2020,2207,,Ashish Sherpa,Female,Day,A,BICT,Running,9808721545.0,41abc@gmail.com,,9865542651.0,,,,,2005-08-11,27-04-2062,,,,,,
42,2020,2208,,Avyash Kurumbang Limbhu,Female,Day,A,BICT,Running,9808721546.0,42abc@gmail.com,,9865542652.0,,,,,2005-08-11,27-04-2062,,,,,,
43,2020,2209,,Barish Rai,Female,Day,A,BICT,Running,9808721547.0,43abc@gmail.com,,9865542653.0,,,,,2005-08-11,27-04-2062,,,,,,
44,2020,2210,,Denisha Basnet,Female,Day,A,BICT,Running,9808721548.0,44abc@gmail.com,,9865542654.0,,,,,2005-08-11,27-04-2062,,,,,,
45,2020,2211,,Gobind Mukhiya,Female,Day,A,BICT,Running,9808721549.0,45abc@gmail.com,,9865542655.0,,,,,2005-08-11,27-04-2062,,,,,,
46,2020,2212,,Jackson Shahi,Female,Day,A,BICT,Running,9808721550.0,46abc@gmail.com,,9865542656.0,,,,,2005-08-11,27-04-2062,,,,,,
47,2020,2213,,Jaya Gupta,Female,Day,A,BICT,Running,9808721551.0,47abc@gmail.com,,9865542657.0,,,,,2005-08-11,27-04-2062,,,,,,
48,2020,2214,,Jwalandeep Adhikari,Female,Day,A,BICT,Running,9808721552.0,48abc@gmail.com,,9865542658.0,,,,,2005-08-11,27-04-2062,,,,,,
49,2020,2215,,Kaustuv Shrestha,Female,Day,A,BICT,Running,9808721553.0,49abc@gmail.com,,9865542659.0,,,,,2005-08-11,27-04-2062,,,,,,
50,2020,2216,,Kishor Singh Bhandari,Female,Day,A,BICT,Running,9808721554.0,50abc@gmail.com,,9865542660.0,,,,,2005-08-11,27-04-2062,,,,,,
51,2020,2217,,Krishna Nepal,Female,Day,A,BICT,Running,9808721555.0,51abc@gmail.com,,9865542661.0,,,,,2005-08-11,27-04-2062,,,,,,
52,2020,2218,,Kriti Chhetri,Female,Day,A,BICT,Running,9808721556.0,52abc@gmail.com,,9865542662.0,,,,,2005-08-11,27-04-2062,,,,,,
53,2020,2219,,Kritika Khandelwal,Female,Day,A,BICT,Running,9808721557.0,53abc@gmail.com,,9865542663.0,,,,,2005-08-11,27-04-2062,,,,,,
54,2020,2220,,Kritika Singh,Female,Day,A,BICT,Running,9808721558.0,54abc@gmail.com,,9865542664.0,,,,,2005-08-11,27-04-2062,,,,,,
55,2020,2221,,Manash Raj Sharma,Female,Day,A,BICT,Running,9808721559.0,55abc@gmail.com,,9865542665.0,,,,,2005-08-11,27-04-2062,,,,,,
